2025-04-10 12:07:46,978 - INFO - Simulation started with 15 sheep and 50 rounds.
2025-04-10 12:07:52,211 - DEBUG - Sheep moved to (-7.32, 2.15).
2025-04-10 12:07:52,211 - DEBUG - Sheep moved to (-1.40, 9.49).
2025-04-10 12:07:52,212 - INFO - Wolf chasing sheep at (3.14, -1.23).
2025-04-10 12:07:52,249 - DEBUG - Round 21 started.
2025-04-10 12:07:52,249 - DEBUG - Sheep moved to (-7.99, -3.58).
2025-04-10 12:07:52,249 - DEBUG - Sheep moved to (-8.85, 8.21).
2025-04-10 12:07:52,249 - DEBUG - Sheep moved to (5.79, 9.15).
2025-04-10 12:07:52,249 - DEBUG - Sheep moved to (3.14, -0.73).
2025-04-10 12:07:52,249 - DEBUG - Sheep moved to (10.29, -3.66).
2025-04-10 12:07:52,249 - DEBUG - Sheep moved to (-8.03, 3.75).
2025-04-10 12:07:52,250 - DEBUG - Sheep moved to (5.88, 5.22).
2025-04-10 12:07:52,250 - DEBUG - Sheep moved to (-2.31, 3.08).
2025-04-10 12:07:52,250 - DEBUG - Sheep moved to (-7.32, 1.65).
2025-04-10 12:07:52,250 - DEBUG - Sheep moved to (-1.90, 9.49).
2025-04-10 12:07:52,250 - INFO - Wolf chasing sheep at (3.14, -0.73).
2025-04-10 12:07:52,290 - DEBUG - Round 22 started.
2025-04-10 12:07:52,290 - DEBUG - Sheep moved to (-7.99, -3.08).
2025-04-10 12:07:52,290 - DEBUG - Sheep moved to (-8.85, 7.71).
2025-04-10 12:07:52,290 - DEBUG - Sheep moved to (6.29, 9.15).
2025-04-10 12:07:52,290 - DEBUG - Sheep moved to (2.64, -0.73).
2025-04-10 12:07:52,290 - DEBUG - Sheep moved to (10.79, -3.66).
2025-04-10 12:07:52,290 - DEBUG - Sheep moved to (-7.53, 3.75).
2025-04-10 12:07:52,291 - DEBUG - Sheep moved to (5.88, 5.72).
2025-04-10 12:07:52,291 - DEBUG - Sheep moved to (-2.31, 2.58).
2025-04-10 12:07:52,291 - DEBUG - Sheep moved to (-7.32, 1.15).
2025-04-10 12:07:52,291 - DEBUG - Sheep moved to (-1.90, 9.99).
2025-04-10 12:07:52,291 - INFO - Wolf chasing sheep at (2.64, -0.73).
2025-04-10 12:07:52,329 - DEBUG - Round 23 started.
2025-04-10 12:07:52,329 - DEBUG - Sheep moved to (-7.49, -3.08).
2025-04-10 12:07:52,329 - DEBUG - Sheep moved to (-8.35, 7.71).
2025-04-10 12:07:52,329 - DEBUG - Sheep moved to (5.79, 9.15).
2025-04-10 12:07:52,329 - DEBUG - Sheep moved to (2.64, -0.23).
2025-04-10 12:07:52,329 - DEBUG - Sheep moved to (10.29, -3.66).
2025-04-10 12:07:52,330 - DEBUG - Sheep moved to (-8.03, 3.75).
2025-04-10 12:07:52,330 - DEBUG - Sheep moved to (6.38, 5.72).
2025-04-10 12:07:52,330 - DEBUG - Sheep moved to (-2.31, 3.08).
2025-04-10 12:07:52,330 - DEBUG - Sheep moved to (-6.82, 1.15).
2025-04-10 12:07:52,330 - DEBUG - Sheep moved to (-2.40, 9.99).
2025-04-10 12:07:52,330 - INFO - Wolf chasing sheep at (2.64, -0.23).
2025-04-10 12:07:52,372 - DEBUG - Round 24 started.
2025-04-10 12:07:52,372 - DEBUG - Sheep moved to (-7.49, -3.58).
2025-04-10 12:07:52,372 - DEBUG - Sheep moved to (-8.35, 7.21).
2025-04-10 12:07:52,372 - DEBUG - Sheep moved to (5.29, 9.15).
2025-04-10 12:07:52,372 - DEBUG - Sheep moved to (2.64, 0.27).
2025-04-10 12:07:52,372 - DEBUG - Sheep moved to (10.29, -4.16).
2025-04-10 12:07:52,373 - DEBUG - Sheep moved to (-8.03, 4.25).
2025-04-10 12:07:52,373 - DEBUG - Sheep moved to (6.38, 6.22).
2025-04-10 12:07:52,373 - DEBUG - Sheep moved to (-2.31, 3.58).
2025-04-10 12:07:52,373 - DEBUG - Sheep moved to (-7.32, 1.15).
2025-04-10 12:07:52,373 - DEBUG - Sheep moved to (-2.40, 10.49).
2025-04-10 12:07:52,373 - INFO - Wolf chasing sheep at (2.64, 0.27).
2025-04-10 12:07:52,409 - DEBUG - Round 25 started.
2025-04-10 12:07:52,409 - DEBUG - Sheep moved to (-7.49, -3.08).
2025-04-10 12:07:52,409 - DEBUG - Sheep moved to (-8.35, 6.71).
2025-04-10 12:07:52,410 - DEBUG - Sheep moved to (5.79, 9.15).
2025-04-10 12:07:52,410 - DEBUG - Sheep moved to (3.14, 0.27).
2025-04-10 12:07:52,410 - DEBUG - Sheep moved to (10.79, -4.16).
2025-04-10 12:07:52,410 - DEBUG - Sheep moved to (-8.53, 4.25).
2025-04-10 12:07:52,410 - DEBUG - Sheep moved to (6.38, 6.72).
2025-04-10 12:07:52,410 - DEBUG - Sheep moved to (-2.31, 3.08).
2025-04-10 12:07:52,410 - DEBUG - Sheep moved to (-7.32, 1.65).
2025-04-10 12:07:52,410 - DEBUG - Sheep moved to (-2.90, 10.49).
2025-04-10 12:07:52,410 - INFO - Wolf chasing sheep at (3.14, 0.27).
2025-04-10 12:07:52,448 - DEBUG - Round 26 started.
2025-04-10 12:07:52,449 - DEBUG - Sheep moved to (-7.99, -3.08).
2025-04-10 12:07:52,449 - DEBUG - Sheep moved to (-7.85, 6.71).
2025-04-10 12:07:52,449 - DEBUG - Sheep moved to (5.79, 8.65).
2025-04-10 12:07:52,449 - DEBUG - Sheep moved to (3.14, 0.77).
2025-04-10 12:07:52,449 - DEBUG - Sheep moved to (11.29, -4.16).
